Rang,Nom,Segment,Score,Adresse,Email,Telephone,Site Web,Raisons
1,"DO MY SHOES",mode,95,"7 Rue des Arts 31000 Toulouse",domyshoes@gmail.com,05 61 52 60 81,https://www.domyshoes.com,"rue commerçante, segment mode, centre-ville, email connu, nom clair"
2,"CHEZ ZEL",maison,85,"25 Rue de la Pomme 31000 Toulouse",contact@chez-zel.com,05 62 19 29 53,https://chez-zel.com,"rue commerçante, centre-ville, geo score élevé, email connu, nom clair"
3,"DU PAREIL AU MEME",mode,80,"30 Rue d'Alsace Lorraine 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
4,"TOULOUSE-CAOUTCHOUC ET PLASTIQUES",mode,80,"22 Rue de la Pomme 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
5,"SCOTCH AND SODA",mode,80,"26 Rue Croix Baragnon 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
6,"TENDANCES LINGERIE",mode,80,"40 Rue de la Colombette 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
7,"IZAC",mode,80,"43 Rue d'Alsace Lorraine 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
8,"AMA LUNA",mode,80,"66 Rue de la Pomme 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
9,"BAGWOOD",mode,80,"75 Rue d'Alsace Lorraine 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
10,"PROMOD",mode,80,"20 Rue d'Alsace Lorraine 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
11,"POBIEDA",mode,80,"16 Rue Saint Rome 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
12,"ROBE ELYSEE",mode,80,"22 Rue Croix Baragnon 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
13,"SOEUR",mode,80,"21 Rue de la Pomme 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
14,"PERFECT",mode,80,"70 Rue de la Pomme 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
15,"THE NORTH FACE TOULOUSE",mode,80,"52 Rue des Tourneurs 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
16,"LES DESSOUS CHICS",mode,80,"29 Rue du Languedoc 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
17,"L'ANNEXE",mode,80,"38 Rue Saint Rome 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
18,"MORGAN",mode,80,"16 Rue d'Alsace Lorraine 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
19,"MAITYLA",mode,80,"5 Rue Boulbonne 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
20,"ARSENE ET LES PIPELETTES",mode,80,"25 Rue de Metz 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
21,"BALIBARIS",mode,80,"32 Rue Boulbonne 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
22,"WORK IN PROGRESS FRANCE",mode,80,"56 Rue des Tourneurs 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
23,"COEUR EPIQUE",mode,80,"2 Rue de la Colombette 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
24,"JACADI",mode,80,"34 Rue de Metz 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
25,"TEZENIS",mode,80,"35 Rue d'Alsace Lorraine 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
26,"BLUEBERRY",mode,80,"9 Rue de la Pomme 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
27,"LA CHEMISERIE TOULOUSAINE--LCT",mode,80,"12 Rue Croix Baragnon 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
28,"DRESSING ROSE AND KIDS",mode,80,"31 Rue Saint Rome 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
29,"COTELAC",mode,80,"18 Rue Croix Baragnon 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
30,"SADIA",mode,80,"39 Rue de Bayard 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
31,"MICHAEL DRILHOLE CONCEPT",mode,80,"31 Rue Saint Rome 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
32,"BOSCHERIE PERE ET FILLE",mode,80,"49 Rue des Filatiers 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
33,"DU PAREIL AU MEME",mode,80,"30 Rue d'Alsace Lorraine 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
34,"STOCK COMPANY",mode,80,"24 Rue Saint Rome 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
35,"CAROLL",mode,80,"31 Rue d'Alsace Lorraine 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
36,"BURTON",mode,80,"55 Rue d'Alsace Lorraine 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
37,"DANYBERD",mode,80,"19 Rue Croix Baragnon 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
38,"MJ CONCEPT STORE - VERSION CAMELEON",mode,80,"46 Rue du Languedoc 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
39,"LX CHAM",mode,80,"3 Rue Boulbonne 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
40,"K-WAY FRANCE",mode,80,"25 Rue de Metz 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
41,"HERVE MARIAGE",mode,80,"20 Rue du Languedoc 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
42,"WORKER",mode,80,"34 Rue Saint Rome 31000 Toulouse",,,,"rue commerçante, segment mode, centre-ville, geo score élevé, nom clair"
